Column,name,wiki_name,birth_date,link,born_place,lat,long,Born in,kneset,Knesset_number,education,occupations,army_service,language
487,יפרח יהונתן,,24/10/1929,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=436,מרוקו,32,-6,מרוקו,חבר הכנסת ה-7,7,,,,
488,יצחקי יצחק,,26/11/1936,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=437,טבריה-ישראל,32.79221,35.53124,ישראל,חבר הכנסת ה-9,9,['- לימודי פסיכולוגיה וחינוך באוניברסיטאות בר אילן ותל אביב  - בעל תואר MA'],,,
489,יצחקי אביגדור,,"י""ט באלול תש""ט, 13/09/1949",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=773,תל-אביב-ישראל,32.08088,34.78057,ישראל,חבר הכנסת ה-17,17,"['- תואר ראשון בראיית חשבון, אוניברסיטת תל אביב']",['רואה חשבון'],"- סיים את שירותו הסדיר כמ”פ טנקים.
- במלחמת יום הכיפורים לחם בשירות מילואים ופיקד על פלוגת טנקים בסיני.
- שימש רל”ש מפקד גייסות השריון האלוף (מיל`) משה מוסה פלד ז”ל.
- במסגרת שירות המילואים היה, במשך שמונה שנים, מג”ד טנקים, במשך שבע שנים היה סמח”ט, ובמשך שש שנים היה מפקד אגד תחזוקה באוגדה סדירה.","שפות
אנגלית"
490,יצחקי יצחק,,11/10/1902,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=438,ריבניצה-אוקראינה,49,32,אוקראינה,חבר הכנסת ה-3,3,['- קיבל חינוך עברי.  - למד משפטים באוניברסיטה של פריז.'],,,
491,יציב גדי,,05/04/1937,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=439,קיבוץ-נען-ישראל,31.5,34.75,ישראל,חבר הכנסת ה-11,11,"['- למד בבית-הספר התיכון שליד האוניברסיטה העברית בירושלים.  - למד סוציולוגיה באוניברסיטה העברית, וב-London School of Economics.  - בעל תואר דוקטור לסוציולוגיה.']",['מרצה בסוציולוגיה'],שרת בנח”ל מוצנח,
492,יריב אהרן,,20/12/1920,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=440,מוסקבה-ברית-המועצות,55.75222,37.61556,ברית המועצות,חבר הכנסת ה-8,8,['- למד בבית-הספר החקלאי בפרדס-חנה.  - למד בבית הספר לדיפלומטים של הסוכנות היהודית.  - למד בבית הספר למטה בצרפת.'],,"- הצטרף ל”הגנה” (1939).
- שירת בצבא הבריטי בדרגת סרן.
- נתמנה לשלישו של רמטכ”ל ה”הגנה” (1947).
- היה סגן מפקד גדוד בחטיבת ”אלכסנדרוני” (1948), ולאחר מכן מפקד גדוד בחטיבת ”כרמל”.
- השתתף בקרבות בצפון ובכיבוש נצרת.
- התמנה לראש ענף במחלקת המבצעים במטכ”ל (1951).
- עמד בראש צוות ההקמה של בית-הספר לפיקוד ומטה (1952–1954) והיה מפקדו הראשון (1954–1956).
- היה ראש מטה פיקוד המרכז (1957).
- היה נספח צה”ל בארצות הברית ובקנדה (1957–1960).
- היה מפקד חטיבת ”גולני” (1960–1961).
- היה ראש אגף המודיעין (1964–1972).",
493,ישי אליהו,,26/12/1962,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=63,ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-14, 15, 16, 17, 18, 19","14 ,15 ,16 ,17 ,18 ,19",['- השכלה תיכונית  - השכלה תורנית'],,בשנים 1980–1983,ערבית
494,ישעיהו-שרעבי ישראל,,20/04/1908,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=441,סדן-תימן,14.30548,43.78238,תימן,"חבר הכנסת ה-1, 2, 3, 4, 5, 6, 7, 8","1 ,2 ,3 ,4 ,5 ,6 ,7 ,8","['- לימודים ב”חדר” ובישיבת הרב יחיא אלקפח  - קורסים בכלכלה, בספרות ובסוציולוגיה']",,,
495,יתום אהוד,,26/09/1948,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=729,ישראל,31.5,34.75,ישראל,חבר הכנסת ה-16,16,,,שירת בשירות הבטחון הכללי (שב”כ) בדרגה מקבילה לאלוף,
496,יתום דני,,15/03/1945,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=741,ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-16, 17","16 ,17","['תואר ראשון במתמטיקה פיזיקה, ומדעי המחשב, האוניברסיטה העברית בירושלים']","['חייל ומפקד, תעשיין']","- בשנים 1963–1996: שירת בסיירת מטכ”ל, ביחידות השריון ובמטכ”ל.
- תפקידים אחרונים שמילא בצה”ל: אלוף פיקוד המרכז ומזכיר צבאי לראש הממשלה ולשר הביטחון.
- היה ראש המוסד למודיעין ולתפקידים מיוחדים וראש המטה המדיני-ביטחוני של ראש הממשלה ושר הביטחון.","שפות
אנגלית"
497,כ”ץ יעקב,,28/12/1906,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=463,זלוצ`וב-(על-יד-זבורוב)-גליציה,,,גליציה,"חבר הכנסת ה-3, 4, 5, 6","3 ,4 ,5 ,6",['למד בישיבת חכמי לובלין'],,,
498,כ”ץ יעקב,,"כ""ח באלול תשי""א, 29/09/1951",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=840,ישראל,31.5,34.75,ישראל,חבר הכנסת ה-18,18,['- השכלה תורנית  - תואר ראשון בהיסטוריה ויהדות'],,"- סמ”פ בסיירת שקד
- סגן","שפות
עברית, אנגלית, רוסית, יידיש"
499,כ”ץ-עוז אברהם,,07/12/1934,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=465,תל-אביב-ישראל,32.08088,34.78057,ישראל,"חבר הכנסת ה-9, 10, 11, 12, 13","9 ,10 ,11 ,12 ,13",['- תיכון חדש בתל-כביר ובית-הספר החקלאי בפרדס-חנה  - הפקולטה לחקלאות ברחובות  - המחלקה לגנטיקה באוניברסיטה העברית'],['אגרונום'],בנח”ל,"שפות
אנגלית"
500,כבל איתן,,"י""ט באב תשי""ט, 23/08/1959",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=64,ראש-העין-ישראל,32.09556,34.95664,ישראל,"חבר הכנסת ה-14, 15, 16, 17, 18, 19, 20","14 ,15 ,16 ,17 ,18 ,19 ,20","['- תיכונית: מדרשיית נועם  - ישיבת הנגב, נתיבות  - לימודים אקדמאיים לתואר ראשון (ללא השלמת תואר), האוניברסיטה העברית']",,"- לוחם בצנחנים, בוגר קורס מ”כים
- סמל מחלקה בחטיבת מילואים בצנחנים
","שפות
אנגלית"
501,כהן יצחק,Yitzhak Cohen,"ב' בתשרי תשי""ב, 02/10/1951",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=65,אשקלון-ישראל,31.66926,34.57149,ישראל,"18,17,21,16,15,20,19,23,14,22-חבר כנסת ה","18,17,21,16,15,20,19,23,14,22","['- טכנית תעופתית  - קורסים בנושאי משפטים, כלכלה, מתמטיקה פיננסית ומחשבים  - השכלה תורנית']","['מקצוע\nחינוך, תעופה']","שירות צבאי
רס”ר",
502,כהן רן,,20/06/1937,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=66,בגדד-עיראק,33,44,עיראק,"חבר הכנסת ה-11, 12, 13, 14, 15, 16, 17","11 ,12 ,13 ,14 ,15 ,16 ,17",['בוגר אוניברסיטת תל אביב'],"['חקלאי, חבר כנסת']","- שירת בתותחנים ובצנחנים
- השתחרר בדרגת אלוף משנה","שפות
אנגלית, ערבית"
503,כהן רענן,,28/02/1941,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=67,בגדאד-עיראק,33,44,עיראק,"חבר הכנסת ה-12, 13, 14, 15","12 ,13 ,14 ,15","['- תואר ראשון בהיסטוריה כללית, אוניברסיטת תל אביב  - תואר שני במזרח התיכון, אוניברסיטת תל אביב  - תואר דוקטור בהיסטוריה של המזרח התיכון בנושא  המיעוטים בישראל']",['מזרחן'],קצין תנאי שירות בחטיבת שריון,"שפות
אנגלית, ערבית"
504,כהן אליעזר,,18/06/1934,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=209,ירושלים-ישראל,31.78199,35.21961,ישראל,"חבר הכנסת ה-15, 16","15 ,16",['MA מאוניברסיטת תל-אביב'],['טייס'],"אלוף משנה, חיל האוויר","שפות
אנגלית, צרפתית"
505,כהן אמנון,,"ו' בסיוון תש""כ, 01/06/1960",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=210,אוזבקיסטן,41.66667,63.83333,אוזבקיסטן,"חבר הכנסת ה-15, 16, 17, 18, 19","15 ,16 ,17 ,18 ,19","['- תיכונית מלאה  - גבוהה – מדעי החברה במכון לשלטון המקומי, אוניברסיטת בר-אילן  - תואר ראשון במינהל עסקים, התמחות בשיווק ופירסום, הקריה האקדמית, קריית-אונו']","['מכניקה עדינה ותכנות מכונות CNC, עסקים בענף המזון והתכשיטים']",רס”ל,"שפות
רוסית, בוכרית"
506,כהן אידוב,,04/11/1909,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=442,מיכאילני-רומניה,46,25,רומניה,"חבר הכנסת ה-1, 2, 3, 4, 5","1 ,2 ,3 ,4 ,5",['- למד בישיבה ביאסי.  - השכלה כללית בלימוד עצמי.'],,,
507,כהן בנו,,30/09/1894,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=443,גרמניה,51.5,10.5,גרמניה,חבר הכנסת ה-5,5,['- למד משפטים באוניברסיטת ברסלאו.  - הוסמך לעורך דין.'],,במלחמת העולם הראשונה שירת בצבא הגרמני.,
508,כהן גאולה,,25/12/1925,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=444,תל-אביב-ישראל,32.08088,34.78057,ישראל,"חברת הכנסת ה-8, 9, 10, 11, 12","8 ,9 ,10 ,11 ,12","['- לימודים בבית-הספר העממי ”בלפור”  - לימודים בסמינר למורים ולגננות על שם לוינסקי (בשנת 1943 גורשה בשל הצטרפותה לארגון לח”י)  - תואר שני במקרא, בספרות ובפילוסופיה מהאוניברסיטה העברית']",,"- בשנת 1942 התגייסה לאצ”ל.
- בשנת 1943 עברה ללח”י ושימשה קריינית תחנת השידור של הארגון.
- בשנת 1946 עצרו אותה הבריטים, דנו אותה לתשע שנות מאסר וכלאו אותה בבית-הסוהר לנשים בבית לחם. בשנת 1947 נמלטה מבית-הסוהר.",
509,כהן גבריאל,,30/05/1928,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=445,ירושלים-ישראל,31.78199,35.21961,ישראל,חבר הכנסת ה-6,6,['- למד בגימנסיה הרצלייה.  - למד באוניברסיטה העברית ובאוניברסיטת אוקספורד.'],,"במלחמת העצמאות שירת בגדוד השלישי של הפלמ”ח (חטיבת ”יפתח”) ולחם בגליל המזרחי, בחזית המרכז ובחזית הדרום.
",
510,כהן יגאל,,01/01/1928,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=446,תל-עדשים-ישראל,32.65627,35.30216,ישראל,"חבר הכנסת ה-8, 9, 10, 11, 12","8 ,9 ,10 ,11 ,12",['למד שנתיים באוניברסיטה העברית.'],,שרת בגדוד הראשון של הפלמ”ח.,
511,כהן יוחנן,,31/12/1917,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=447,לודז`-פולין,52,20,פולין,חבר הכנסת ה-3,3,['חניך הגימנסיה העברית בלודז`'],,"- בשנת 1938 הצטרף ל”הגנה”.
- בשנים 1941–1944 היה נוטר במשטרת היישובים (JSP).
- במלחמת הקוממיות היה מ”פ (בדרגת סרן) בגדוד 19 של גולני.
- במילואים: סמג”ד ומג”ד (בדרגת סגן אלוף) גדוד 171, חטיבת חי”ר 17.",
512,כהן מנחם,,05/07/1922,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=448,ירושלים-ישראל,31.78199,35.21961,ישראל,"חבר הכנסת ה-1, 4, 5, 6, 7","1 ,4 ,5 ,6 ,7",,,,
513,כהן שלום,,01/01/1926,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=449,בגדאד-עיראק,33,44,עיראק,חבר הכנסת ה-7,7,['למד בקולג` האנגלי באלכסנדריה'],,,
514,כהן אלי,,29/05/1949,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=714,ירושלים-ישראל,31.78199,35.21961,ישראל,חבר הכנסת ה-15,15,"['- תואר ראשון במתמטיקה ופיזיקה, האוניברסיטה העברית  - תואר שני – MBA במינהל עסקים, אוניברסיטת MVU  - מאמן בכיר באומנות לחימה (שוטוקאן קרטה דו), מכון וינגייט']",['מנהל חברה'],דרגה צבאית: סגן אלוף,"שפות
אנגלית, ערבית, צרפתית, יפנית"
515,כהן אילנה,,16/11/1943,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=755,עיראק,33,44,עיראק,חברת הכנסת ה-16,16,['בית-הספר לסיעוד ב”אסף הרופא”'],['אחות מוסמכת'],,
516,כהן יעקב,,13/07/1953,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=783,בני-ברק-ישראל,32.08074,34.8338,ישראל,חבר הכנסת ה-17,17,"['- סמיכה לרבנות, בית-תלמוד להוראה  - ראש ישיבת ”מאור ישראל”']",['רב וראש ישיבה'],,יידיש
517,כהן מאיר,Meir Cohen,"ל' בחשוון תשט""ז, 15/11/1955",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=874,מוגדור-מרוקו,32,-6,מרוקו,"21,20,19,23,22-חבר כנסת ה","21,20,19,23,22","['- BA – תואר ראשון בהיסטוריה של עם ישראל ומחשבת ישראל, אוניברסיטת בן-גוריון  - MA – תואר שני במדעי היהדות, בית-המדרש ללימודי היהדות הסמוך לבית-המדרש לרבנים באמריקה (כיום מכון שכטר)']","['מקצוע\nמורה להיסטוריה ולמחשבת ישראל, מנהל בית ספר תיכון וחטיבת ביניים']","שירות צבאי
רס”ל",
518,כהן אלי אליהו,כהן אלי אליהו,"כ""ה בתשרי תשל""ג, 03/10/1972",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=928,חולון-ישראל,32.01034,34.77918,ישראל,"חברי הכנסת ה-20,21,22,23","23,21,22,20","['- תואר שני M.Sc במינהל עסקים, התמחות במימון וחשבונאות, אוניברסיטת תל אביב  - תואר ראשון B.A בחשבונאות, אוניברסיטת תל אביב  - תואר ראשון B.A בניהול וכלכלה, האוניברסיטה הפתוחה']",['מקצוע\nרואה חשבון (CPA)'],"שירות צבאי
רב סרן (במיל`), חיל האוויר",
519,כהן מירב,Meirav Cohen,"י""ז באלול תשמ""ג, 26/08/1983",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=1006,ירושלים-ישראל,31.78199,35.21961,ישראל,"21,23,22-חבר כנסת ה","21,23,22","['- 2009–2011 – תואר שני במינהל עסקים עם התמחות באסטרטגיה, יזמות ותכנון עירוני, האוניברסיטה העברית  - 2006–2009 – תואר ראשון בהצטיינות בלימודי כלכלה ומינהל עסקים, האוניברסיטה העברית']",,"שירות צבאי
2001–2003 – סמלת; שירות צבאי בגלי צה""ל: כתבת, מפיקה ועורכת בנושאי צרכנות, עורכת ומגישה פינות בנושאי כלכלה ומגישה מהדורות חדשות",
520,כהן פארן יעל,,"י""ז בתשרי תשל""ד, 12/10/1973",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=952,רמת-גן-ישראל,32.08227,34.81065,ישראל,חברת הכנסת ה-20,20,"['- תואר ראשון B.Sc בפיזיקה, במסגרת תוכנית ”אמירים”, האוניברסיטה העברית בירושלים  - תואר שני M.A במדיניות ציבורית, אוניברסיטת תל אביב']",,"קצינת מודיעין ביחידת 8200, בדרגת סגן",אנגלית
521,כהנא מאיר,,01/08/1932,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=455,ברוקלין-ניו-יורק-ארצות-הברית,40.6501,-73.94958,ארצות הברית,חבר הכנסת ה-11,11,['- למד בבית-הספר התיכון שליד ”ישיבה יוניברסיטי” בברוקלין.  - למד בישיבת ”מיר” והוסמך לרב.  - למד היסטוריה ומדעי המדינה ב”ברוקלין קולג`”.  - למד יחסים בין-לאומיים באוניברסיטת ניו-יורק; בעל תואר שני.  - למד משפטים בבית-הספר למשפטים באוניברסיטת ניו-יורק; מוסמך למשפטים.'],,,
522,כהנא קלמן,,31/05/1910,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=456,ברודי-גליציה,50.08791,25.15027,גליציה,"חבר הכנסת ה-1, 2, 3, 4, 5, 6, 7, 8, 9","1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9","['- קיבל חינוך מסורתי.  - למד בגימנסיה היהודית בברודי.  - בוגר בית-המדרש לרבנים מיסודו של הרב עזריאל הילדסהיימר בברלין.  - למד באוניברסיטאות ברלין ווירצבורג (פילוסופיה, שפות שמיות, היסטוריה ופדגוגיה).  - בעל תואר דוקטור לפילוסופיה.']",,,
523,כהנא מתן,Matan Kahana,29/07/1972,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=1030,חיפה-ישראל,32.81841,34.9885,ישראל,"22,23,22-חבר כנסת ה","22,23,22",['- תואר ראשון במשפטים  - תואר שני במשפטים'],,"שירות צבאי
- אלוף משנה
- 1995–2019 – טייס בחיל האוויר",
524,כהן-אבידב מאיר,,18/02/1926,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=450,חיפה-ישראל,32.81841,34.9885,ישראל,"חבר הכנסת ה-8, 9, 10, 11","8 ,9 ,10 ,11",['- למד בבית-הספר התיכון סנט-לוקס בחיפה.  - למד בבית-הספר הגבוה למשפט ולכלכלה בתל אביב.  - הוסמך לעורך-דין.'],,"- בשנת 1943 הצטרף לאצ”ל.
- בשנים 1946–1948 נעצר על-ידי השלטונות הבריטים.",
525,כהן-אורגד יגאל,,30/08/1937,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=451,תל-אביב-ישראל,32.08088,34.78057,ישראל,"חבר הכנסת ה-9, 10, 11","9 ,10 ,11",['- למד בבית-ספר דתי.  - למד בתיכון עירוני ב` בתל אביב.  - למד כלכלה וחינוך באוניברסיטה העברית.'],,,
526,כהן-כגן רחל,,19/02/1888,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=452,אודסה-רוסיה,60,100,רוסיה,"חברת הכנסת ה-1, 5","1 ,5",['- למדה בגימנסיה באודסה.  - למדה באוניברסיטאות אודסה ופטרוגרד.'],,,
527,כהן-מגורי חיים,,01/04/1913,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=453,תימן,15.5,47.5,תימן,"חבר הכנסת ה-1, 2, 3, 4, 5, 6","1 ,2 ,3 ,4 ,5 ,6",['למד בגימנסיה בלפור בתל-אביב.'],,,
528,כהן-צידון שלמה,,15/02/1923,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=454,אלכסנדריה-מצרים,31.20176,29.91582,מצרים,חבר הכנסת ה-6,6,['- למד בבית-ספר תיכון דה-מאנש באלכסנדריה.  - למד בבית-הספר הגבוה למסחר באלכסנדריה.  - למד בבית-הספר למשפט ולכלכלה בתל-אביב.  - מוסמך לעורך-דין.'],,,
529,כחלון משה,,"כ""ט בחשוון תשכ""א, 19/11/1960",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=731,ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-16, 17, 18, 20, 21, 22","16 ,17 ,18 ,20 ,21 ,22",['- תואר ראשון במשפטים במכללת נתניה  - תואר ראשון במדעי המדינה ולימודים כלליים באוניברסיטת חיפה  - לימודי שמאות רכב בטכניון חיפה (לימודי חוץ)'],,"- 1978–1986 – שירות חובה וקבע
- תפקיד אחרון: מדריך ראשי במתקן האימונים עורף צפון","שפות
אנגלית"
530,כלפה זבולון,,"כ""ז באלול תשכ""ב, 29/06/1962",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=893,באר-שבע-ישראל,31.25181,34.7913,ישראל,חבר הכנסת ה-19,19,,,,
531,כלפון אברהם,,16/12/1900,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=457,טבריה-ישראל,32.79221,35.53124,ישראל,חבר הכנסת ה-2,2,['למד בבית-הספר ”אליאנס” ובבית-הספר הריאלי בחיפה.'],,,
532,כמאל מריח ע'דיר,כמאל מריח ע'דיר,"כ""א בסיוון תשמ""ד, 21/06/1984",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=1020,חיפה-ישראל,32.81841,34.9885,ישראל,"חברי הכנסת ה-22,21,23","21,22,23",['- תואר ראשון במדעי החברה ובדימות רפואי  - תואר שני ביחסים בין-לאומיים'],"['מקצוע\nעיתונאית, מגישת חדשות; טכנאית אולטרסאונד']",,
533,כנוביץ` שמעון,,06/07/1900,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=458,גרמניה,51.5,10.5,גרמניה,חבר הכנסת ה-4,4,"['- למד רפואה באוניברסיטאות קניגסברג, פרנקפורט וטיבינגן.  - רופא ילדים.']",,,
534,כנעאן מוחמד,,17/10/1955,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=211,טמרה-ישראל,32.85301,35.1987,ישראל,חבר הכנסת ה-15,15,"['- לימודים בבית-הספר התיכון בטמרה  - BA, אוניברסיטת באר שבע  - לימודי תעודה במסגרת ”תוכנית שוורץ”, האוניברסיטה העברית  - תואר אקדמאי בספרות עברית והיסטוריה כללית  - לימודי תעודה בהכשרת מנהלים למתנ”סים, האוניברסיטה העברית']","['מורה בבית-ספר תיכון, סגן ראש מועצת טמרה, מזכ”ל מד”ע']",,"אנגלית, ערבית"
535,כסה יונה,,01/01/1907,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=459,דוברויה-(פלך-חרסון)-אוקראינה,49,32,אוקראינה,"חבר הכנסת ה-1, 2, 3, 4, 5","1 ,2 ,3 ,4 ,5",['למד ב”חדר”.'],,,
536,כסיף עופר,Ofer Cassif,"כ' בטבת תשכ""ה, 25/12/1964",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=1013,ראשון-לציון-ישראל,31.97102,34.78939,ישראל,"21,21,23,22-חבר כנסת ה","21,21,23,22","['ד""ר לפילוסופיה ולפוליטיקה']",['מקצוע\nמרצה באקדמיה'],,
537,כפרית שרה,,26/07/1900,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=460,מינסק-רוסיה,60,100,רוסיה,"חברת הכנסת ה-2, 3","2 ,3",['- גימנסיה במינסק  - סמינר לגננות ”לוינסקי” בתל אביב'],,,
538,כץ יוסי,,19/08/1949,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=68,חיפה-ישראל,32.81841,34.9885,ישראל,"חבר הכנסת ה-13, 14, 15","13 ,14 ,15",['תואר ראשון ושני במשפטים באוניברסיטה העברית בירושלים'],['עורך דין'],רס”ל,"שפות
אנגלית, צרפתית, גרמנית"
539,כץ ישראל,Yisrael Katz,"ה' בתשרי תשט""ז, 21/09/1955",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=69,אשקלון-ישראל,31.66926,34.57149,ישראל,"חברי הכנסת ה- 14,15,16,17,18,19,20,21,22,23","23,14,15,16,17,18,19,20,21,22","['- תואר ראשון, האוניברסיטה העברית,  - לימודים לתואר שני, אוניברסיטת בר-אילן']",['מקצוע\nחקלאי'],"שירות צבאי
סרן",
540,כץ חיים,Haim Katz,21/12/1947,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=212,גרמניה,51.5,10.5,גרמניה,"18,17,21,16,20,19,23,22,15-חבר כנסת ה","18,17,21,16,20,19,23,22,15",['- בית-הספר המקצועי ”אורט” בגבעתיים  - טכנאי אלקטרוניקה'],['מקצוע\nטכנאי אלקטרוניקה'],"שירות צבאי
רס”ר",
541,כץ אברהם,,07/12/1931,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=461,נס-ציונה-ישראל,31.92933,34.79868,ישראל,"חבר הכנסת ה-7, 8, 9","7 ,8 ,9","['- למד בגימנסיה ”הרצלייה”.  - למד ספרות, כלכלה וגיאוגרפיה באוניברסיטה העברית.  - בעל תואר ראשון ושני.  - מוסמך להוראה בבתי-ספר על-יסודיים.']",,במלחמת השחרור לחם במסגרת הפלמ”ח בחטיבת הראל.,
542,כץ זאב,,29/03/1923,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=462,לייפציג-גרמניה,51.33962,12.37129,גרמניה,חבר הכנסת ה-9,9,"['בתחילה למד בבית-ספר גרמני, ולפי בקשתו הועבר, בשנת 1933, לבית-ספר יהודי.']",,,
543,כץ שמואל,,09/12/1914,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=464,דרום-אפריקה,-29,24,אפריקה,חבר הכנסת ה-1,1,['למד בבית-ספר גבוה למסחר ובאוניברסיטת ויטווטרסרנד ביוהנסבורג.'],,"- התגייס לאצ”ל (1937).
- היה אחראי על ענייני ההסברה של האצ”ל באירופה (1948) והשתתף בארגון מסע האנייה ”אלטלנה”.",
544,כץ אופיר,Ofir Katz,"ד' בסיוון תש""מ, 19/05/1980",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=976,עפולה-ישראל,32.63221,35.32533,ישראל,"21,23,22-חבר כנסת ה","21,23,22",['תואר ראשון במדעי החברה ותקשורת'],,"שירות צבאי
סמל ראשון",
545,כצנלסון בת-שבע,,01/01/1897,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=466,בר-(חבל-קמינץ-פודולסק)-אוקראינה,49,32,אוקראינה,חברת הכנסת ה-2,2,['- למדה בגימנסיה רוסית ובגימנסיה ”הרצלייה” בתל אביב.  - למדה מדעי הרוח באוניברסיטת ז`נבה.'],,,
546,כרמל משה,,17/01/1911,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=467,מינסק-מאזוריצק-פולין,52,20,פולין,"חבר הכנסת ה-3, 4, 5, 6, 7, 8","3 ,4 ,5 ,6 ,7 ,8",['- למד ב”חדר” ובבית-ספר.  - למד היסטוריה ופילוסופיה באוניברסיטה העברית.  - למד במכון למדעי המדינה בפריז.'],,"- שירת ב”הגנה” ועסק בהדרכת מפקדים.
- ערב מלחמת העצמאות היה מפקד מחוז חיפה ומפקד חזית הצפון.
- פיקד על שחרור חיפה, עכו והגליל.
- בשנת 1950 פרש מצה”ל בדרגת אלוף.",
547,לבון פנחס,,12/07/1904,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=468,קופצ`ינצה-גליציה,,,גליציה,"חבר הכנסת ה-1, 2, 3, 4","1 ,2 ,3 ,4",['- לימודים ב”חדר”  - לימודים בגימנסיה פולנית בטרנופול  - לימודי משפטים באוניברסיטת לבוב'],,,
