Column,name,position,govermmrnt number,educaction,occupations,army_service,party
499,שמיר יצחק,שר החוץ,21,['- לימודים בבית-ספר תיכון בביאליסטוק  - לימודי משפטים בוורשה (עד שנת 1935)  - לימודים באוניברסיטה העברית בירושלים'],['מנהל חברות'],"- בשנת 1937 הצטרף לאצ”ל (ארגון צבאי לאומי).
- בשנת 1940, לאחר הפילוג באצ”ל, עבר ללח”י (לוחמי חרות ישראל).
- בשנים 1955–1965 מילא תפקיד בכיר במוסד.",הליכוד
500,נבון יצחק,שר החינוך,21,"['- למד בבית-הספר התיכון ”בית הכרם”.  - למד ספרות עברית, אסלאם, שפה וספרות ערבית באוניברסיטה העברית.']",,,מערך
501,נחמקין אריה,שר החקלאות ופיתוח הכפר,21,['למד בבית-ספר תיכון בנהלל.'],,"- פעיל ב”הגנה” (1943–1948)
- שירת בצה”ל
- השתחרר בדרגת סגן-אלוף",מערך
502,יעקבי גד,שר הכלכלה והתעשייה,21,['- לימודים בבית-הספר התיכון בכפר ויתקין  - לימודי כלכלה ומדעי המדינה באוניברסיטת תל-אביב; בעל תואר שני בכלכלה  - לימודים באוניברסיטת הרווארד ובאוניברסיטת לונדון'],['סופר'],שירות בצה”ל בשנים 1953–1956,מערך
503,בר-לב חיים,שר המשטרה,21,['- לימודים בבית-הספר החקלאי ”מקווה-ישראל”  - לימודים בבית-ספר לקצינים בכירים באנגליה  - תואר שני במינהל עסקים וכלכלה מאוניברסיטת קולומביה בניו-יורק  - לימודי מדעי המדינה באוניברסיטת פריז'],,"- בשנים 1942–1948 שירת בפלמ”ח.
- בשנת 1946 פיקד על פיצוץ גשר אלנבי ליד יריחו (במסגרת המאבק בשלטון המנדט הבריטי).
- בשנת 1947 היה מפקד הגדוד השמיני של חטיבת הנגב של הפלמ”ח.
- במלחמת העצמאות שימש קצין המבצעים של חטיבת הנגב ומפקד גדוד במבצע ”חורב” שנועד לסלק את המצרים מהנגב (1948–1949).
- בשנת 1952 היה ראש מטה פיקוד הצפון.
- בשנת 1954 היה מפקד חטיבת גבעתי.
- בשנת 1956, במבצע סיני, היה מפקד חטיבת שריון.
- בשנים 1957–1961 היה מפקד גייסות השריון.
- בשנים 1964–1966 שימש ראש אגף המבצעים בצה”ל.
- בשנת 1967 נתמנה לסגן הרמטכ”ל.
- בשנים 1968–1972 היה הרמטכ”ל השמיני של צה”ל.
- בשנת 1972 פרש מצה”ל, אך גויס לשירות פעיל כמפקד החזית נגד מצרים במלחמת יום הכיפורים.
- על-פי יוזמתו הוקם במלחמת ההתשה קו ביצורים והגנה לאורך הגדה המזרחית של תעלת סואץ (קו בר-לב). קו הגנה זה התמוטט בימים הראשונים של מלחמת יום הכיפורים בשנת 1973.",מערך
504,נסים משה,שר המשפטים,21,"['מוסמך למשפטים, האוניברסיטה העברית בירושלים']",['עורך דין'],קצין משפטים,הליכוד
505,קצב משה,"שר העבודה, הרווחה והשירותים חברתיים",21,['- לימודים בבית-הספר היסודי ”האחים” בקריית-מלאכי.  - לימודים תיכוניים בכפר הנוער בבן-שמן ובבית-הספר התיכון האזורי בבאר-טוביה.  - בשנת 1971 קיבל תואר בוגר של האוניברסיטה העברית בכלכלה והיסטוריה.  - בעל תעודת הוראה של האוניברסיטה העברית.'],['כלכלן ומחנך'],"- רב-טוראי, חיל הקשר.
- במלחמת ששת הימים ובמלחמת יום הכיפורים שירת כחייל מילואים.
",הליכוד
506,פרץ יצחק חיים,שר הפנים,21,['- בוגר הישיבה התיכונית ”מדרשיית נועם” בפרדס חנה.  - למד בישיבת ”חברון” בירושלים.  - למד ב”כולל” בפתח תקווה.  - בעל הסמכה לרבנות והסמכה לדיינות מבית-המדרש הגבוה לתורה והוראה ”חזון עובדיה” בירושלים.'],"['רב, דיין']",,ש”ס
507,קורפו חיים,"שר התחבורה, התשתיות הלאומיות והבטיחות בדרכים",21,['- תלמוד תורה ”מאה שערים”  - ישיבת ”חברון”  - ישיבת לומזיה בפתח תקווה  - סמינר למורים ”מזרחי”  - הפקולטה למשפטים באוניברסיטה העברית  - מוסמך לעורך דין'],,,הליכוד
508,שריר אברהם,שר התיירות,21,['- למד בתיכון חדש בתל אביב.  - למד משפטים באוניברסיטה העברית.  - הוסמך לעורך דין.'],,,הליכוד
509,שרון אריאל,"שר התעשיה, המסחר והתעסוקה",21,"['בוגר הפקולטה למשפטים, האוניברסיטה העברית']",['חקלאי'],"- מ”כ, מ”מ ומ”פ במלחמת העצמאות
- מפקד סיירת גולני
- קמ”ן פיקוד המרכז והצפון
- הקים את ”יחידת 101 ”
- מפקד גדוד צנחנים
- מח”ט הצנחנים
- מח”ט חי”ר
- מפקד בית הספר לחי”ר
- מח”ט שריון
- רמ”ט פיקוד הצפון
- ראש מחלקת ההדרכה במטכ”ל
- מפקד אוגדה
- אלוף פיקוד הדרום",הליכוד
510,רובינשטיין אמנון,שר התקשורת,21,"['- B.A בכלכלה ויחסים בין-לאומיים, האוניברסיטה העברית  - מוסמך למשפטים, האוניברסיטה העברית  - ד”ר לפילוסופיה, אוניברסיטת לונדון']",['משפטן'],"- קצין תותחנים
- סרן",שינוי - מפלגת מרכז
511,בורג יוסף,השר לענייני דתות,21,['- הוסמך לרבנות בבית-המדרש לרבנים ע”ש הילדסהיימר בברלין.  - למד באוניברסיטת לייפציג ובאוניברסיטת ברלין. בעל תואר דוקטור לפילוסופיה.'],,,מפד”ל
512,צור יעקב,השר לקליטת עלייה,21,['- בית-הספר הריאלי בחיפה  - לימודי מקרא והיסטוריה באוניברסיטה העברית'],,,מערך
513,עזר ויצמן,שר במשרד ראש הממשלה,21,,,,מערך
514,אמוראי עדיאל,סגן שר האוצר,21,"['- תיכון עירוני א`, תל-אביב  - כלכלה, יחסים בין-לאומיים ומינהל ציבורי, האוניברסיטה העברית']",,,מערך
515,דקל מיכאל,סגן שר הביטחון,21,"['- למד בבית-ספר עברי ברשת בתי-הספר ”תרבות”, ובישראל למד בבית-ספר תיכון אקסטרני.  - למד מדעי-המדינה, כלכלה וסוציולוגיה באוניברסיטת תל-אביב.']",,"- במלחמת העולם השנייה, בשנים 1943–1944 שירת בצבא הסובייטי, ובשנים 1944–1946 שירת בצבא הפולני.
- לאחר המלחמה היה מפקד קן בית”ר במחנה העקורים בהליין באוסטריה.
- היה חבר מפקדת האצ”ל באוסטריה.",הליכוד
516,ארבלי-אלמוזלינו שושנה,סגנית שר הבריאות,21,['בית-מדרש למורים בעיראק'],,,מערך
517,מילוא רוני,סגן שר החוץ,21,"['בוגר במשפטים, אוניברסיטת תל אביב']",['עורך דין'],"- בפרקליטות הצבאית
- קמ”ש (קצין משפט)
- סניגור צבאי",הליכוד
518,כ”ץ-עוז אברהם,סגן שר החקלאות ופיתוח הכפר,21,['- תיכון חדש בתל-כביר ובית-הספר החקלאי בפרדס-חנה  - הפקולטה לחקלאות ברחובות  - המחלקה לגנטיקה באוניברסיטה העברית'],['אגרונום'],בנח”ל,מערך
519,פנחסי רפאל,"סגן שר העבודה, הרווחה והשירותים חברתיים",21,"[""- תלמוד תורה ר' עקיבא בבני ברק  - ישיבת ”היכל התלמוד” בתל אביב  - כולל ”חזון איש” בבני ברק""]",['יהלומן'],בדרגת סמל,ש”ס
520,שמיר יצחק,ראש הממשלה,22,['- לימודים בבית-ספר תיכון בביאליסטוק  - לימודי משפטים בוורשה (עד שנת 1935)  - לימודים באוניברסיטה העברית בירושלים'],['מנהל חברות'],"- בשנת 1937 הצטרף לאצ”ל (ארגון צבאי לאומי).
- בשנת 1940, לאחר הפילוג באצ”ל, עבר ללח”י (לוחמי חרות ישראל).
- בשנים 1955–1965 מילא תפקיד בכיר במוסד.",הליכוד
521,פרס שמעון,"מ""מ ראש הממשלה",22,['- בתי-הספר ”בלפור” ו”גאולה” בתל אביב  - בית הספר החקלאי בבן שמן  - לימודים באוניברסיטת ניו-יורק  - לימודים באוניברסיטת הרווארד'],,"- משנת 1947 עד לאחר קום המדינה עבד עם דוד בן-גוריון ועם לוי אשכול במפקדת ההגנה.
- בשנת 1950 נתמנה באופן זמני לראש שירותי הים בצה”ל.
",מערך
522,נסים משה,שר האוצר,22,"['מוסמך למשפטים, האוניברסיטה העברית בירושלים']",['עורך דין'],קצין משפטים,הליכוד
523,רבין יצחק,שר הביטחון,22,['בית-הספר החקלאי ”כדורי”'],,"• בשנת 1941 הצטרף לפלמ”ח ושירת בו עד תום מלחמת העצמאות.
• במלחמת העצמאות שירת כמפקד חטיבת ”הראל” שלחמה בחזית ירושלים.
• במהלך המלחמה פיקד על פינוי התושבים הערבים מלוד ומרמלה.
• פיקד על כוח צה”ל שפעל מול כוחות הלוחמים שהיו על הספינה ”אלטלנה”.
• בשנת 1949 השתתף בשיחות שביתת הנשק עם מצרים ברודוס, אך התנגד להסכם שהושג וחזר לישראל לפני טקס החתימה.
• בשנים 1956–1959 שירת כאלוף פיקוד הצפון.
• בשנים 1959–1963 שירת כראש אג”ם וסגן הרמטכ”ל.
• בשנים 1964–1968 שירת כרמטכ”ל ופיקד על צה”ל במלחמת ששת הימים.
",מערך
524,ארבלי-אלמוזלינו שושנה,שרת הבריאות,22,['בית-מדרש למורים בעיראק'],,,מערך
525,פרס שמעון,שר החוץ,22,['- בתי-הספר ”בלפור” ו”גאולה” בתל אביב  - בית הספר החקלאי בבן שמן  - לימודים באוניברסיטת ניו-יורק  - לימודים באוניברסיטת הרווארד'],,"- משנת 1947 עד לאחר קום המדינה עבד עם דוד בן-גוריון ועם לוי אשכול במפקדת ההגנה.
- בשנת 1950 נתמנה באופן זמני לראש שירותי הים בצה”ל.
",מערך
526,פת גדעון,"שר המדע, התרבות והספורט",22,"['- תואר ראשון בכלכלה, אוניברסיטת ניו-יורק']",['כלכלן'],שירת בנח”ל,הליכוד
527,בר-לב חיים,שר המשטרה,22,['- לימודים בבית-הספר החקלאי ”מקווה-ישראל”  - לימודים בבית-ספר לקצינים בכירים באנגליה  - תואר שני במינהל עסקים וכלכלה מאוניברסיטת קולומביה בניו-יורק  - לימודי מדעי המדינה באוניברסיטת פריז'],,"- בשנים 1942–1948 שירת בפלמ”ח.
- בשנת 1946 פיקד על פיצוץ גשר אלנבי ליד יריחו (במסגרת המאבק בשלטון המנדט הבריטי).
- בשנת 1947 היה מפקד הגדוד השמיני של חטיבת הנגב של הפלמ”ח.
- במלחמת העצמאות שימש קצין המבצעים של חטיבת הנגב ומפקד גדוד במבצע ”חורב” שנועד לסלק את המצרים מהנגב (1948–1949).
- בשנת 1952 היה ראש מטה פיקוד הצפון.
- בשנת 1954 היה מפקד חטיבת גבעתי.
- בשנת 1956, במבצע סיני, היה מפקד חטיבת שריון.
- בשנים 1957–1961 היה מפקד גייסות השריון.
- בשנים 1964–1966 שימש ראש אגף המבצעים בצה”ל.
- בשנת 1967 נתמנה לסגן הרמטכ”ל.
- בשנים 1968–1972 היה הרמטכ”ל השמיני של צה”ל.
- בשנת 1972 פרש מצה”ל, אך גויס לשירות פעיל כמפקד החזית נגד מצרים במלחמת יום הכיפורים.
- על-פי יוזמתו הוקם במלחמת ההתשה קו ביצורים והגנה לאורך הגדה המזרחית של תעלת סואץ (קו בר-לב). קו הגנה זה התמוטט בימים הראשונים של מלחמת יום הכיפורים בשנת 1973.",מערך
528,מודעי יצחק,שר המשפטים,22,['- לימודים בבית-הספר התיכון ”גאולה” בתל אביב  - לימודים בטכניון בחיפה  - לימודי משפטים בשלוחת תל אביב של האוניברסיטה העברית  - לימודי כלכלה ומשפטים ב-London School of Economics  - הוסמך לעורך דין'],,"- סגן הנספח הצבאי בלונדון (1951–1953)
- חבר ועדת שביתת הנשק (1953)
- השתחרר מצה”ל בדרגת סגן-אלוף (1953)",הליכוד
529,קצב משה,"שר העבודה, הרווחה והשירותים חברתיים",22,['- לימודים בבית-הספר היסודי ”האחים” בקריית-מלאכי.  - לימודים תיכוניים בכפר הנוער בבן-שמן ובבית-הספר התיכון האזורי בבאר-טוביה.  - בשנת 1971 קיבל תואר בוגר של האוניברסיטה העברית בכלכלה והיסטוריה.  - בעל תעודת הוראה של האוניברסיטה העברית.'],['כלכלן ומחנך'],"- רב-טוראי, חיל הקשר.
- במלחמת ששת הימים ובמלחמת יום הכיפורים שירת כחייל מילואים.
",הליכוד
530,פרץ יצחק חיים,שר הפנים,22,['- בוגר הישיבה התיכונית ”מדרשיית נועם” בפרדס חנה.  - למד בישיבת ”חברון” בירושלים.  - למד ב”כולל” בפתח תקווה.  - בעל הסמכה לרבנות והסמכה לדיינות מבית-המדרש הגבוה לתורה והוראה ”חזון עובדיה” בירושלים.'],"['רב, דיין']",,ש”ס
531,קורפו חיים,"שר התחבורה, התשתיות הלאומיות והבטיחות בדרכים",22,['- תלמוד תורה ”מאה שערים”  - ישיבת ”חברון”  - ישיבת לומזיה בפתח תקווה  - סמינר למורים ”מזרחי”  - הפקולטה למשפטים באוניברסיטה העברית  - מוסמך לעורך דין'],,,הליכוד
532,המר זבולון,השר לענייני דתות,22,['- בוגר אוניברסיטת בר-אילן במדעי היהדות ובמקרא  -\xa0בעל תעודת הוראה  -\xa0בוגר המכללה לביטחון לאומי'],['מחנך'],בנח”ל ובשריון,מפד”ל
533,מודעי יצחק,שר במשרד ראש הממשלה,22,['- לימודים בבית-הספר התיכון ”גאולה” בתל אביב  - לימודים בטכניון בחיפה  - לימודי משפטים בשלוחת תל אביב של האוניברסיטה העברית  - לימודי כלכלה ומשפטים ב-London School of Economics  - הוסמך לעורך דין'],,"- סגן הנספח הצבאי בלונדון (1951–1953)
- חבר ועדת שביתת הנשק (1953)
- השתחרר מצה”ל בדרגת סגן-אלוף (1953)",הליכוד
534,אמוראי עדיאל,סגן שר האוצר,22,"['- תיכון עירוני א`, תל-אביב  - כלכלה, יחסים בין-לאומיים ומינהל ציבורי, האוניברסיטה העברית']",,,מערך
535,דקל מיכאל,סגן שר הביטחון,22,"['- למד בבית-ספר עברי ברשת בתי-הספר ”תרבות”, ובישראל למד בבית-ספר תיכון אקסטרני.  - למד מדעי-המדינה, כלכלה וסוציולוגיה באוניברסיטת תל-אביב.']",,"- במלחמת העולם השנייה, בשנים 1943–1944 שירת בצבא הסובייטי, ובשנים 1944–1946 שירת בצבא הפולני.
- לאחר המלחמה היה מפקד קן בית”ר במחנה העקורים בהליין באוסטריה.
- היה חבר מפקדת האצ”ל באוסטריה.",הליכוד
536,כ”ץ-עוז אברהם,סגן שר החקלאות ופיתוח הכפר,22,['- תיכון חדש בתל-כביר ובית-הספר החקלאי בפרדס-חנה  - הפקולטה לחקלאות ברחובות  - המחלקה לגנטיקה באוניברסיטה העברית'],['אגרונום'],בנח”ל,מערך
537,פנחסי רפאל,"סגן שר העבודה, הרווחה והשירותים חברתיים",22,"[""- תלמוד תורה ר' עקיבא בבני ברק  - ישיבת ”היכל התלמוד” בתל אביב  - כולל ”חזון איש” בבני ברק""]",['יהלומן'],בדרגת סמל,ש”ס
538,מילוא רוני,סגן שר במשרד ראש הממשלה,22,"['בוגר במשפטים, אוניברסיטת תל אביב']",['עורך דין'],"- בפרקליטות הצבאית
- קמ”ש (קצין משפט)
- סניגור צבאי",הליכוד
539,שמיר יצחק,ראש הממשלה,23,['- לימודים בבית-ספר תיכון בביאליסטוק  - לימודי משפטים בוורשה (עד שנת 1935)  - לימודים באוניברסיטה העברית בירושלים'],['מנהל חברות'],"- בשנת 1937 הצטרף לאצ”ל (ארגון צבאי לאומי).
- בשנת 1940, לאחר הפילוג באצ”ל, עבר ללח”י (לוחמי חרות ישראל).
- בשנים 1955–1965 מילא תפקיד בכיר במוסד.",הליכוד
540,פרס שמעון,"מ""מ ראש הממשלה",23,['- בתי-הספר ”בלפור” ו”גאולה” בתל אביב  - בית הספר החקלאי בבן שמן  - לימודים באוניברסיטת ניו-יורק  - לימודים באוניברסיטת הרווארד'],,"- משנת 1947 עד לאחר קום המדינה עבד עם דוד בן-גוריון ועם לוי אשכול במפקדת ההגנה.
- בשנת 1950 נתמנה באופן זמני לראש שירותי הים בצה”ל.
",העבודה
541,נבון יצחק,סגן ראש הממשלה,23,"['- למד בבית-הספר התיכון ”בית הכרם”.  - למד ספרות עברית, אסלאם, שפה וספרות ערבית באוניברסיטה העברית.']",,,העבודה
542,פרס שמעון,שר האוצר,23,['- בתי-הספר ”בלפור” ו”גאולה” בתל אביב  - בית הספר החקלאי בבן שמן  - לימודים באוניברסיטת ניו-יורק  - לימודים באוניברסיטת הרווארד'],,"- משנת 1947 עד לאחר קום המדינה עבד עם דוד בן-גוריון ועם לוי אשכול במפקדת ההגנה.
- בשנת 1950 נתמנה באופן זמני לראש שירותי הים בצה”ל.
",העבודה
543,שחל משה,שר האנרגיה והתשתיות,23,['- לימודי כלכלה ומדעי המדינה באוניברסיטת חיפה  - בוגר הפקולטה למשפטים באוניברסיטת תל אביב'],['עורך דין'],,העבודה
544,רבין יצחק,שר הביטחון,23,['בית-הספר החקלאי ”כדורי”'],,"• בשנת 1941 הצטרף לפלמ”ח ושירת בו עד תום מלחמת העצמאות.
• במלחמת העצמאות שירת כמפקד חטיבת ”הראל” שלחמה בחזית ירושלים.
• במהלך המלחמה פיקד על פינוי התושבים הערבים מלוד ומרמלה.
• פיקד על כוח צה”ל שפעל מול כוחות הלוחמים שהיו על הספינה ”אלטלנה”.
• בשנת 1949 השתתף בשיחות שביתת הנשק עם מצרים ברודוס, אך התנגד להסכם שהושג וחזר לישראל לפני טקס החתימה.
• בשנים 1956–1959 שירת כאלוף פיקוד הצפון.
• בשנים 1959–1963 שירת כראש אג”ם וסגן הרמטכ”ל.
• בשנים 1964–1968 שירת כרמטכ”ל ופיקד על צה”ל במלחמת ששת הימים.
",העבודה
545,לוי דוד,שר הבינוי והשיכון,23,['לימודים בבית-ספר ”אליאנס” ברבאט'],['פועל בניין'],,הליכוד
546,צור יעקב,שר הבריאות,23,['- בית-הספר הריאלי בחיפה  - לימודי מקרא והיסטוריה באוניברסיטה העברית'],,,העבודה
547,נבון יצחק,שר החינוך,23,"['- למד בבית-הספר התיכון ”בית הכרם”.  - למד ספרות עברית, אסלאם, שפה וספרות ערבית באוניברסיטה העברית.']",,,העבודה
548,כ”ץ-עוז אברהם,שר החקלאות ופיתוח הכפר,23,['- תיכון חדש בתל-כביר ובית-הספר החקלאי בפרדס-חנה  - הפקולטה לחקלאות ברחובות  - המחלקה לגנטיקה באוניברסיטה העברית'],['אגרונום'],בנח”ל,העבודה
549,מודעי יצחק,שר הכלכלה והתעשייה,23,['- לימודים בבית-הספר התיכון ”גאולה” בתל אביב  - לימודים בטכניון בחיפה  - לימודי משפטים בשלוחת תל אביב של האוניברסיטה העברית  - לימודי כלכלה ומשפטים ב-London School of Economics  - הוסמך לעורך דין'],,"- סגן הנספח הצבאי בלונדון (1951–1953)
- חבר ועדת שביתת הנשק (1953)
- השתחרר מצה”ל בדרגת סגן-אלוף (1953)",
550,עזר ויצמן,שר המדע והפיתוח,23,,,,העבודה
551,עזר ויצמן,"שר המדע, הטכנולוגיה, התרבות והספורט",23,,,,העבודה
552,בר-לב חיים,שר המשטרה,23,['- לימודים בבית-הספר החקלאי ”מקווה-ישראל”  - לימודים בבית-ספר לקצינים בכירים באנגליה  - תואר שני במינהל עסקים וכלכלה מאוניברסיטת קולומביה בניו-יורק  - לימודי מדעי המדינה באוניברסיטת פריז'],,"- בשנים 1942–1948 שירת בפלמ”ח.
- בשנת 1946 פיקד על פיצוץ גשר אלנבי ליד יריחו (במסגרת המאבק בשלטון המנדט הבריטי).
- בשנת 1947 היה מפקד הגדוד השמיני של חטיבת הנגב של הפלמ”ח.
- במלחמת העצמאות שימש קצין המבצעים של חטיבת הנגב ומפקד גדוד במבצע ”חורב” שנועד לסלק את המצרים מהנגב (1948–1949).
- בשנת 1952 היה ראש מטה פיקוד הצפון.
- בשנת 1954 היה מפקד חטיבת גבעתי.
- בשנת 1956, במבצע סיני, היה מפקד חטיבת שריון.
- בשנים 1957–1961 היה מפקד גייסות השריון.
- בשנים 1964–1966 שימש ראש אגף המבצעים בצה”ל.
- בשנת 1967 נתמנה לסגן הרמטכ”ל.
- בשנים 1968–1972 היה הרמטכ”ל השמיני של צה”ל.
- בשנת 1972 פרש מצה”ל, אך גויס לשירות פעיל כמפקד החזית נגד מצרים במלחמת יום הכיפורים.
- על-פי יוזמתו הוקם במלחמת ההתשה קו ביצורים והגנה לאורך הגדה המזרחית של תעלת סואץ (קו בר-לב). קו הגנה זה התמוטט בימים הראשונים של מלחמת יום הכיפורים בשנת 1973.",העבודה
553,מרידור דן,שר המשפטים,23,['בוגר הפקולטה למשפטים באוניברסיטה העברית בירושלים'],['עורך דין'],קצין שריון,הליכוד
554,שמיר יצחק,"שר העבודה, הרווחה והשירותים חברתיים",23,['- לימודים בבית-ספר תיכון בביאליסטוק  - לימודי משפטים בוורשה (עד שנת 1935)  - לימודים באוניברסיטה העברית בירושלים'],['מנהל חברות'],"- בשנת 1937 הצטרף לאצ”ל (ארגון צבאי לאומי).
- בשנת 1940, לאחר הפילוג באצ”ל, עבר ללח”י (לוחמי חרות ישראל).
- בשנים 1955–1965 מילא תפקיד בכיר במוסד.",הליכוד
555,דרעי אריה מכלוף,שר הפנים,23,['- לימודים בישיבת ”פורת יוסף” בירושלים  - לימודים בישיבת חברון בירושלים'],,,
556,קצב משה,"שר התחבורה, התשתיות הלאומיות והבטיחות בדרכים",23,['- לימודים בבית-הספר היסודי ”האחים” בקריית-מלאכי.  - לימודים תיכוניים בכפר הנוער בבן-שמן ובבית-הספר התיכון האזורי בבאר-טוביה.  - בשנת 1971 קיבל תואר בוגר של האוניברסיטה העברית בכלכלה והיסטוריה.  - בעל תעודת הוראה של האוניברסיטה העברית.'],['כלכלן ומחנך'],"- רב-טוראי, חיל הקשר.
- במלחמת ששת הימים ובמלחמת יום הכיפורים שירת כחייל מילואים.
",הליכוד
557,פת גדעון,שר התיירות,23,"['- תואר ראשון בכלכלה, אוניברסיטת ניו-יורק']",['כלכלן'],שירת בנח”ל,הליכוד
558,שרון אריאל,"שר התעשיה, המסחר והתעסוקה",23,"['בוגר הפקולטה למשפטים, האוניברסיטה העברית']",['חקלאי'],"- מ”כ, מ”מ ומ”פ במלחמת העצמאות
- מפקד סיירת גולני
- קמ”ן פיקוד המרכז והצפון
- הקים את ”יחידת 101 ”
- מפקד גדוד צנחנים
- מח”ט הצנחנים
- מח”ט חי”ר
- מפקד בית הספר לחי”ר
- מח”ט שריון
- רמ”ט פיקוד הצפון
- ראש מחלקת ההדרכה במטכ”ל
- מפקד אוגדה
- אלוף פיקוד הדרום",הליכוד
559,יעקבי גד,שר התקשורת,23,['- לימודים בבית-הספר התיכון בכפר ויתקין  - לימודי כלכלה ומדעי המדינה באוניברסיטת תל-אביב; בעל תואר שני בכלכלה  - לימודים באוניברסיטת הרווארד ובאוניברסיטת לונדון'],['סופר'],שירות בצה”ל בשנים 1953–1956,העבודה
560,מילוא רוני,השר להגנת הסביבה,23,"['בוגר במשפטים, אוניברסיטת תל אביב']",['עורך דין'],"- בפרקליטות הצבאית
- קמ”ש (קצין משפט)
- סניגור צבאי",הליכוד
561,המר זבולון,השר לענייני דתות,23,['- בוגר אוניברסיטת בר-אילן במדעי היהדות ובמקרא  -\xa0בעל תעודת הוראה  -\xa0בוגר המכללה לביטחון לאומי'],['מחנך'],בנח”ל ובשריון,מפד”ל
562,פרץ יצחק חיים,השר לקליטת עלייה,23,['- בוגר הישיבה התיכונית ”מדרשיית נועם” בפרדס חנה.  - למד בישיבת ”חברון” בירושלים.  - למד ב”כולל” בפתח תקווה.  - בעל הסמכה לרבנות והסמכה לדיינות מבית-המדרש הגבוה לתורה והוראה ”חזון עובדיה” בירושלים.'],"['רב, דיין']",,מוריה
563,גור מרדכי,שר במשרד ראש הממשלה,23,"['- בשנים 1959–1960 למד במכללה הצבאית בפריז.  - לאחר פרישתו מצה”ל למד לימודי המזרח באוניברסיטה העברית בירושלים.  - בשנת 1979, למד במכללה למנהל עסקים בהרווארד.']",['איש צבא ופוליטיקה'],"- בגיל צעיר הצטרף לארגון ה”הגנה” ומילא בו תפקידי פיקוד שונים.
- במלחמת העצמאות שירת בחטיבת הנגב של הפלמ”ח.
- לאחר המלחמה שירת כשנתיים כמפקד פלוגה בחטיבת הנח”ל, ולאחר מכן הצטרף לצנחנים ופיקד על פעולות תגמול רבות.
- בשנת 1955 נפצע בעת שפיקד על פעולת תגמול בחאן-יונס.
- בשנת 1956, במבצע-סיני, פיקד על גדוד נח”ל מוצנח.
- בשנת 1957 נתמנה לסגן מפקד יחידות הצנחנים.
- בשנת 1961 נתמנה למפקד חטיבת גולני.
- בשנת 1963 נתמנה לראש מחלקת המבצעים באגף המטה, ובשנת 1965 נתמנה למפקד המכללה לפיקוד ומטה.
- בשנת 1966 נתמנה למפקד חטיבת מילואים של הצנחנים, ובמלחמת ששת הימים פיקד על חטיבת הצנחנים שכבשה את ירושלים העתיקה.
- לאחר המלחמה מונה למפקד כוחות צה”ל בחבל-עזה ובצפון חצי האי סיני.
- בשנת 1969 קודם לדרגת אלוף ונתמנה לאלוף פיקוד הצפון.
- בשנים 1973-1972 שירת כנספח צה”ל בשגרירות ישראל בוושינגטון.
- בינואר 1974, לאחר מלחמת יום הכיפורים, חזר לשרת כאלוף פיקוד הצפון.
- באפריל 1974 נתמנה לרמטכ”ל העשירי של צה”ל, ומילא תפקיד זה עד אפריל 1978.",העבודה
564,ביילין יוסי,סגן שר האוצר,23,['- לימודי ספרות עברית ומדע המדינה באוניברסיטת תל-אביב  - תואר דוקטור במדע המדינה מאוניברסיטת תל-אביב'],['פוליטולוג'],השתחרר מצה”ל בדרגת רס”ל,העבודה
565,נתניהו בנימין,סגן שר החוץ,23,['- תואר ראשון בארכיטקטורה  - תואר שני במינהל עסקים'],['מקצוע\nניהול'],"שירות צבאי
- שירת בסיירת מטכ”ל
- לאחר מלחמת יום הכיפורים, דרגתו הועלתה לסרן",הליכוד
566,פלדמן משה זאב,"סגן שר העבודה, הרווחה והשירותים חברתיים",23,"[""- בית-ספר תיכון למחוננים באנגליה  - ישיבת הרב מליעז' בסטיינז באנגליה  - ישיבת ”שפת אמת”  - בעל סמיכה לרבנות""]",,,אגודת ישראל
567,פנחסי רפאל,סגן שר הפנים,23,"[""- תלמוד תורה ר' עקיבא בבני ברק  - ישיבת ”היכל התלמוד” בתל אביב  - כולל ”חזון איש” בבני ברק""]",['יהלומן'],בדרגת סמל,ש”ס
568,שמיר יצחק,ראש הממשלה,24,['- לימודים בבית-ספר תיכון בביאליסטוק  - לימודי משפטים בוורשה (עד שנת 1935)  - לימודים באוניברסיטה העברית בירושלים'],['מנהל חברות'],"- בשנת 1937 הצטרף לאצ”ל (ארגון צבאי לאומי).
- בשנת 1940, לאחר הפילוג באצ”ל, עבר ללח”י (לוחמי חרות ישראל).
- בשנים 1955–1965 מילא תפקיד בכיר במוסד.",הליכוד
569,נסים משה,סגן ראש הממשלה,24,"['מוסמך למשפטים, האוניברסיטה העברית בירושלים']",['עורך דין'],קצין משפטים,הליכוד
570,מודעי יצחק,שר האוצר,24,['- לימודים בבית-הספר התיכון ”גאולה” בתל אביב  - לימודים בטכניון בחיפה  - לימודי משפטים בשלוחת תל אביב של האוניברסיטה העברית  - לימודי כלכלה ומשפטים ב-London School of Economics  - הוסמך לעורך דין'],,"- סגן הנספח הצבאי בלונדון (1951–1953)
- חבר ועדת שביתת הנשק (1953)
- השתחרר מצה”ל בדרגת סגן-אלוף (1953)",
